,Count_update,Count_comment,Count_funder,Count_photo,Amount_goal,Start_month,End_month,Duration,Min_perk,No_min_perk,Max_perk,No_max_perk,Median_perk,No_med_perk,Total_perk,FB_like,FB_talking,Youtube_avg_duration,Youtube_avg_view_count,Youtube_avg_rating,US,newtype,status,lat,lon,recoded_country,Mintotal,Maxtotal,Mediantotal
602,0,15,26,7.0,14500,9,10,29.0,10,3,5000,0,300.0,0,8,0,0,0.0,0.0,0.0,1,0,3,39.952334999999998,-75.163788999999994,0,30,0,0.0
603,0,2,10,0.0,125000,10,11,30.0,25,3,5000,0,625.0,0,8,0,0,0.0,0.0,0.0,1,0,3,32.780139900000002,-96.800451100000004,0,75,0,0.0
604,29,52,50,7.0,100000,11,2,90.0,1,6,10000,0,50.0,3,11,0,0,125.03125,2078.75,2.7879464375,1,0,3,29.424121899999999,-98.493628200000003,0,6,0,150.0
605,12,55,59,25.0,5000,11,12,32.0,19,2,230,0,57.0,0,18,3383,486,147.5,474.5,2.5,1,0,3,40.148082700000003,-74.694573700000007,0,38,0,0.0
606,6,10,11,17.0,1000000,7,10,90.0,10,1,10000,0,250.0,2,11,0,0,190.38461538459998,4880.6153846154002,1.7692307691999998,0,0,3,49.261226000000001,-123.1139268,2,10,0,500.0
607,15,27,31,14.0,5000,6,8,45.0,1,4,1000,0,75.0,0,10,0,0,0.0,0.0,0.0,1,0,3,40.572499999999998,-111.85972219999999,0,4,0,0.0
608,1,19,11,0.0,100000,8,9,30.0,0,0,0,0,0.0,0,0,28887,26,0.0,0.0,0.0,0,0,3,28.635307999999998,77.224959999999996,19,0,0,0.0
609,2,5,24,7.0,100000,10,12,60.0,5,1,10000,0,200.0,0,12,5630,165,0.0,0.0,0.0,1,0,3,35.779589700000002,-78.638178699999997,0,5,0,0.0
610,2,13,25,0.0,250000,9,11,65.0,10,3,250,2,50.0,3,5,0,0,0.0,0.0,0.0,1,0,3,37.774929499999999,-122.4194155,0,30,500,150.0
611,1,5,15,2.0,75000,10,12,60.0,10,0,1500,0,125.0,0,4,0,0,31.0,3311.0,5.0,0,0,3,-31.953004400000001,115.85746930000001,10,0,0,0.0
612,1,8,19,1.0,383000,9,10,31.0,5,1,10000,0,1500.0,0,14,245,0,202.0,527793.19999999995,4.7193899200000002,0,0,3,0.0,0.0,2,5,0,0.0
613,3,21,68,22.0,15500,7,9,53.0,1,6,100000,0,40.0,0,8,143,0,0.0,0.0,0.0,1,0,3,0.0,0.0,0,6,0,0.0
614,4,8,15,9.0,5555,7,8,25.0,11,0,9999,0,174.0,0,20,135,1,0.0,0.0,0.0,1,0,3,34.052234200000001,-118.24368490000001,0,0,0,0.0
615,0,27,107,3.0,25000,9,9,16.0,5,28,25000,0,100.0,3,7,0,0,0.0,0.0,0.0,1,0,3,34.052234200000001,-118.24368490000001,0,140,0,300.0
616,40,31,60,4.0,100000,8,12,102.0,2,7,1000,0,42.5,0,12,0,0,0.0,0.0,0.0,1,0,3,0.0,0.0,0,14,0,0.0
617,8,15,14,14.0,6000,10,11,43.0,3,3,838,0,23.0,0,8,0,0,0.0,0.0,0.0,0,0,3,22.396428,114.109497,32,9,0,0.0
618,3,4,17,9.0,50000,2,4,36.0,0,0,0,0,0.0,0,0,0,0,71.0,556.0,5.0,0,0,3,37.5318933,126.9191163,49,0,0,0.0
619,9,19,29,2.0,25000,10,12,45.0,5,2,150,5,25.0,0,11,0,0,73.25,1370.75,4.75,1,0,3,42.886446800000002,-78.878368899999998,0,10,750,0.0
620,10,15,17,0.0,5000,7,8,30.0,5,0,350,0,132.5,0,10,0,0,0.0,0.0,0.0,1,0,3,39.886449300000002,-83.4482529,0,0,0,0.0
621,0,32,51,1.0,8000,5,7,45.0,5,0,80,12,27.5,0,6,0,0,0.0,0.0,0.0,1,1,3,26.076478300000002,-80.252115700000004,0,0,960,0.0
622,9,17,38,10.0,4250,6,9,63.0,10,26,500,2,65.0,7,3,0,0,0.0,0.0,0.0,1,0,3,41.331760600000003,-74.356819999999999,0,260,1000,455.0
623,17,24,27,30.0,15485,7,8,30.0,2,7,2,7,2.0,7,15,212,0,228.5,225.0,0.0,0,1,3,52.486243000000002,-1.890401,6,14,14,14.0
624,3,14,23,6.0,50000,4,7,75.0,40,13,1500,0,115.0,0,4,0,0,0.0,0.0,0.0,0,0,3,0.0,0.0,49,520,0,0.0
625,2,26,22,6.0,150000,8,9,40.0,5,0,3000,0,117.5,0,12,0,0,184.80000000000001,103783.35000000001,1.3442760549999999,0,0,3,22.396428,114.109497,32,0,0,0.0
626,0,12,40,1.0,1700,6,7,13.0,10,3,400,0,100.0,5,7,0,0,0.0,0.0,0.0,1,0,1,39.169702800000003,-86.523693399999999,0,30,0,500.0
627,1,1,15,0.0,170000,11,1,61.0,9,1,689,0,79.0,0,11,0,0,0.0,0.0,0.0,1,0,3,0.0,0.0,0,9,0,0.0
628,4,29,18,0.0,5000,10,11,60.0,1,0,715,0,69.0,3,15,0,0,0.0,0.0,0.0,0,1,3,22.4780418,113.89685660000001,44,0,0,207.0
629,0,18,10,0.0,475000,9,12,75.0,25,5,10000,0,625.0,0,8,0,0,0.0,0.0,0.0,1,0,3,34.052234200000001,-118.24368490000001,0,125,0,0.0
630,0,4,25,0.0,80000,8,9,47.0,25,5,80000,0,1000.0,0,5,0,0,0.0,0.0,0.0,1,0,3,0.0,0.0,0,125,0,0.0
631,0,5,24,0.0,15000,2,3,50.0,25,1,501,1,75.5,0,4,0,0,0.0,0.0,0.0,1,0,3,37.804363700000003,-122.2711137,0,25,501,0.0
632,0,26,60,0.0,1750,1,2,26.0,3,4,100,0,20.0,0,6,0,0,0.0,0.0,0.0,1,0,1,0.0,0.0,0,12,0,0.0
633,16,12,63,10.0,10000,8,10,45.0,5,23,15000,0,100.0,0,8,7982,180,139.0,1566.0,5.0,0,0,3,47.497911999999999,19.040234999999999,1,115,0,0.0
