Count_update,Count_comment,Count_funder,Count_photo,Amount_goal,Start_month,End_month,Duration,Min_perk,No_min_perk,Max_perk,No_max_perk,Median_perk,No_med_perk,Total_perk,FB_like,FB_talking,Youtube_avg_duration,Youtube_avg_view_count,Youtube_avg_rating,US,newtype,status,lat,lon,recoded_country,Mintotal,Maxtotal,Mediantotal
9,15,15,0,92000,10,11,59,10,0,10000,0,300,0,9,0,0,0,0,0,1,0,3,28.5383355,-81.3792365,0,0,0,0
0,11,6,0,6500,9,11,60,2,1,2,1,2,1,8,0,0,0,0,0,0,0,3,49.45203,11.07675,11,2,2,2
17,6,11,17,4500,4,5,44,15,2,1000,0,144,4,5,0,0,0,0,0,0,0,3,51.5112139,-0.1198244,6,30,0,576
3,7,3,4,450000,5,7,63,5,0,10000,0,300,0,8,8012,8,0,0,0,0,0,3,-2.203816,-79.897453,20,0,0,0
0,7,5,3,20000,5,7,60,25,4,150,0,40,0,3,0,0,0,0,0,1,1,3,32.7153292,-117.1572551,0,100,0,0
2,8,23,2,1000,2,3,31,1,3,80,2,42.5,0,8,191,4,204,3,0,1,1,1,37.7749295,-122.4194155,0,3,160,0
30,11,27,17,40000,3,4,30,10,1,10000,0,100,2,9,0,0,0,0,0,1,0,3,41.8781136,-87.6297982,0,10,0,200
0,6,25,12,5000,4,5,40,50,2,500,0,100,2,3,80,0,0,0,0,1,0,3,40.7143528,-74.0059731,0,100,0,200
0,6,14,0,50000,5,6,60,10,2,5000,0,100,3,9,0,0,0,0,0,1,0,3,40.7607793,-111.8910474,0,20,0,300
25,6,23,1,20000,7,9,48,18,3,110,0,69,4,7,0,0,0,0,0,1,0,3,40.7143528,-74.0059731,0,54,0,276
2,19,44,0,10000,8,10,45,1,8,430,1,75,0,6,0,0,588.25,78183.3,3.249147215,1,0,3,27.6648274,-81.5157535,0,8,430,0
0,4,74,0,9000,12,1,59,1,7,50,5,15,0,4,0,0,0,0,0,1,0,3,32.7153292,-117.1572551,0,7,250,0
4,9,18,15,5840,7,9,41,10,5,10000,0,175,0,8,0,0,117,702,0,1,0,3,39.737567,-104.9847179,0,50,0,0
1,21,13,8,70000,9,11,60,1,0,10000,0,375,0,10,0,0,0,0,0,1,0,3,37.09024,-95.712891,0,0,0,0
7,7,5,6,100000,11,12,45,18,0,15000,0,486,0,10,121,20,132.4,75,0,0,0,3,53.544389,-113.4909267,2,0,0,0
0,8,17,0,1000,11,12,14,20,4,7200,0,527,0,8,0,0,0,0,0,1,0,1,33.7489954,-84.3879824,0,80,0,0
2,17,35,2,5000,12,1,30,10,11,1000,0,60,2,7,264,0,155.25,160.75,2.5,0,0,3,-41.2864603,174.776236,21,110,0,120
8,38,49,19,25000,11,1,60,5,17,5000,0,100,4,7,132,1,811.7,2598312.75,4.234924515,0,0,3,42.9869502,-81.243177,2,85,0,400
7,5,2,4,85000,6,8,45,5,0,8000,0,650,0,12,27,2,0,0,0,1,1,3,39.7589478,-84.1916069,0,0,0,0
0,12,56,0,16000,3,5,74,5,25,1000,0,100,0,9,0,0,0,0,0,1,0,3,37.7749295,-122.4194155,0,125,0,0
0,14,37,4,6000,5,6,45,25,20,5000,0,250,1,3,0,0,0,0,0,0,1,3,45.5086699,-73.5539925,2,500,0,250
0,12,5,0,10000,2,4,60,10,1,1000,0,100,0,7,0,0,0,0,0,0,0,3,0,0,14,10,0,0
0,7,2,0,51550,11,1,55,75,0,9500,0,475,0,5,0,0,0,0,0,1,0,3,37.7749295,-122.4194155,0,0,0,0
1,4,10,1,1000,5,5,5,1,0,1000,0,62.5,0,6,0,0,0,0,0,1,0,1,37.7749295,-122.4194155,0,0,0,0
4,17,17,5,15000,11,1,50,5,1,5000,0,100,2,9,0,0,0,0,0,0,0,3,44.8205556,20.4622222,22,5,0,200
0,17,11,3,40000,7,8,33,5,1,750,0,25,1,10,0,0,0,0,0,1,0,3,31.0835102,-97.6597376,0,5,0,25
0,15,16,13,50000,10,12,40,79,13,840,0,174,0,7,1064,4,0,0,0,1,0,3,40.7143528,-74.0059731,0,1027,0,0
3,3,6,0,1000,9,10,26,2,1,2,1,2,1,12,0,0,0,0,0,0,0,1,52.5200066,13.404954,11,2,2,2
0,11,23,0,1000,9,11,60,5,0,1000,0,50,0,9,5,0,0,0,0,1,0,1,25.7889689,-80.2264393,0,0,0,0
2,4,10,8,150538,3,5,60,10,1,5000,0,200,2,9,0,0,0,0,0,1,0,3,41.9842123,-86.1086228,0,10,0,400
0,8,43,14,50000,5,6,31,1,7,10000,0,75,0,8,702,17,0,0,0,1,0,3,36.114646,-115.172816,0,7,0,0
